CSV Dump from EGI accounting portal for the period 8/2014 to 8/2014
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2014 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
,,60000,31248000,Total,0,6753940.115,0,0,6753940.115,21.613991663466
,,,,WallClock,,655929.4336,,,655929.4336
South Africa,ZA-CHPC-T2,,,ZA-CHPC,0,0,0,0,0
,,,,Total,0,0,0,0,0
,,,,WallClock,,,,,
Spain,ES-ATLAS-T2,,,ifae,0,4940046.1364,0,0,4940046.1364
Spain,ES-ATLAS-T2,,,IFIC-LCG2,0,14389248.4190,0,0,14389248.419
Spain,ES-ATLAS-T2,,,UAM-LCG2,0,2426640.3859,0,0,2426640.3859
,,82400,42913920,Total,0,21755934.9413,0,0,21755934.9413,50.696685227777
,,,,WallClock,,2057954.6569,,,2057954.6569
Spain,ES-CMS-T2,,,CIEMAT-LCG2,0,0,5762363.3334,0,5762363.3334
Spain,ES-CMS-T2,,,IFCA-LCG2,0,0,2740796.4538,0,2740796.4538
,,80000,41664000,Total,0,0,8503159.7872,0,8503159.7872,20.408889658218
,,,,WallClock,,,2039242.6739,,2039242.6739
Spain,ES-LHCb-T2,,,UB-LCG2,0,0,0,788655.5116,788655.5116
Spain,ES-LHCb-T2,,,USC-LCG2,0,0,0,2369929.2203,2369929.2203
,,11200,5832960,Total,0,0,0,3158584.7319,3158584.7319,54.15063247305
,,,,WallClock,,,,380715.4082,380715.4082
Sweden,SE-SNIC-T2,,,SE-SNIC-T2,0,1423760.0000,0,0,1423760
Sweden,SE-SNIC-T2,,,SE-SNIC-T2,0,1423760.0000,0,0,1423760
,,31480,16394784,Total,0,2847520,0,0,2847520,17.368450843878
,,,,WallClock,0,1423760.0000,0,0,
Switzerland,CH-CHIPP-CSCS,,,CSCS-LCG2,0,9479415.7863,6409312.2835,50795.9723,15939524.0421
Switzerland,CH-CHIPP-CSCS,,,UNIBE-LHEP,0,4938052.6106,0,0,4938052.6106
,,148000,77078400,Total,0,14417468.3969,6409312.2835,50795.9723,20877576.6527,27.086157279731
,,,,WallClock,,1191831.0926,640931.2285,5079.5973,1837841.9184
Taiwan,TW-CMS-T2,,,TW-NCHC,0,0,0,0,0
,,,,Total,0,0,0,0,0
,,,,WallClock,,,,,
Taiwan,TW-FTT-T2,,,TW-FTT,0,1222216.0000,220224.0000,0,1442440
,,20056,10445164.8,Total,0,1222216,220224,0,1442440,13.809643290645
,,,,WallClock,,523900,25527,,549427
Thailand,TH-Tier2,,,T2-TH-CUNSTDA,0,0,110973.8359,0,110973.8359
