Time,ALICE::BITP::SE,ALICE::Bari::SE,ALICE::Birmingham::SE,ALICE::Bratislava::SE,ALICE::CCIN2P3::SE,ALICE::CCIN2P3::TAPE,ALICE::CERN::CASTOR2,ALICE::CERN::DPM,ALICE::CERN::EOS,ALICE::CERN::OCDB,ALICE::CERN::T0ALICE,ALICE::CNAF::SE,ALICE::CNAF::TAPE,ALICE::Catania::SE,ALICE::Clermont::SE,ALICE::CyberSar_Cagliari::SE,ALICE::Cyfronet::XRD,ALICE::FZK::SE,ALICE::FZK::TAPE,ALICE::GRIF_IPNO::SE,ALICE::GRIF_IRFU::DPM,ALICE::GSI::SE2,ALICE::Grenoble::SE,ALICE::Hiroshima::EOS,ALICE::Hiroshima::SE,ALICE::IHEP::SE,ALICE::IPNL::SE,ALICE::ISMA::SE,ALICE::ISS::FILE,ALICE::ITEP::SE,ALICE::JINR::EOS,ALICE::JINR::SE,ALICE::KFKI::SE,ALICE::KISTI_GSDC::SE2,ALICE::KISTI_GSDC::TAPE,ALICE::Kolkata::EOS,ALICE::Kolkata::SE,ALICE::Kosice::SE,ALICE::LBL::EOS,ALICE::Legnaro::SE,ALICE::MEPHI::EOS,ALICE::NDGF::DCACHE,ALICE::NDGF::DCACHE_TAPE,ALICE::NIHAM::FILE,ALICE::ORNL::EOS,ALICE::PNPI::SE,ALICE::Poznan::SE,ALICE::Prague::SE,ALICE::RAL::SE,ALICE::RAL::TAPE,ALICE::RRC-KI::SE,ALICE::RRC_KI_T1::DCACHE_TAPE,ALICE::RRC_KI_T1::EOS,ALICE::SARA::DCACHE,ALICE::SARA::DCACHE_TAPE,ALICE::SNIC::DCACHE,ALICE::SPbSU::EOS,ALICE::SPbSU::SE,ALICE::SUT::SE,ALICE::SaoPaulo::SE,ALICE::Strasbourg_IRES::SE,ALICE::Subatech::EOS,ALICE::Torino::SE,ALICE::Trieste::SE,ALICE::Troitsk::SE,ALICE::Trujillo::SE,ALICE::Tsukuba::SE,ALICE::UNAM_T1::EOS,ALICE::ZA_CHPC::EOS,ALICE::ZA_CHPC::SE
1333635500,6021.860349999999,347705.43799999997,,87051.7812,,,,,11189.8164,,,,,171641.04700000002,168444.17200000002,,,1066561.0,2318863.0,185369.67200000002,38360.7773,324.05422999999996,27248.0703,,70459.92190000003,,,,,,,,,31374.859399999994,,,34144.69529999999,45039.4531,,176069.84399999998,,,124422.234,,,22865.3887,64833.0,292521.625,75572.76560000001,193799.85810004163,,,,,,,,21471.746100000004,,1294.42554,56560.6758,,200448.70299999998,16891.394500000002,51594.9961,27254.896500000003,,,,
1335814643,6021.860349999999,347705.43799999997,,87051.7812,,,,,11189.816400000002,,,,,171641.04700000002,168444.17200000002,,,1066561.0,2318863.0,185369.67200000002,38360.7773,324.05422999999985,27248.0703,,70459.92190000004,,,,,,,,,31374.859399999998,,,34144.69529999999,45039.4531,,176069.84399999998,,,124422.23400000001,,,22865.388700000003,64833.0,292521.625,75572.7656,193799.875,,,,,,,,21471.74610000001,,1294.4255400000002,56560.67579999999,,200448.70299999998,16891.394500000002,51594.99609999999,27254.896500000003,,,,
1337993786,6021.860349999999,347705.4380000001,,87051.7812,,627634.0,,,11189.8164,,,,,171641.047,168444.17200000002,41920.6523,,1066561.0,2318863.0,185369.672,38360.7773,324.05422999999985,27248.0703,,70459.92190000002,,,,,,,,,31374.8594,,,34144.69529999999,45039.4531,,176069.84400000004,,,124422.234,,,22865.388700000003,64833.0,292521.625,77268.73198616781,193799.875,,,,,,,,21471.746100000004,0.15430523500000043,1294.4255400000002,56560.6758,,200448.703,16891.394499999995,51594.99609999999,27254.8965,,,,
1340172929,9647.918832830963,334451.27612389805,,99430.17162777019,,655409.5497256106,,,231791.7669305924,,,,,181135.82958796833,174199.16976027947,34868.10131058635,,1101047.293102481,2354578.3359620236,192787.9046070456,39869.46346352018,325.60959629387264,28143.59048880265,,73349.09332939445,,,,,,,,,49562.86600720485,,,39440.44679344175,48022.824358703896,,213887.4568244759,,,130855.07053736871,,,25452.416473528305,65432.794123318374,315061.17095739476,99492.6444418971,200341.07887399715,,,,,,,,22797.325749549607,2.481839540792471,3866.1596340180404,59700.468006904295,,212919.11200280517,18334.255446501276,59331.1246479473,27111.79199893341,,,,
1342352071,13318.311407830963,309338.354123898,,122957.6170277702,,714815.8307256107,,,459760.2337305924,,,,,199186.95458796836,185124.06826027948,23464.06326058635,,1167457.168102481,2423280.7109620236,209546.92810704565,41679.16661352017,327.4857712938727,29843.603188802652,,78845.32767939445,,,,,,,,,71664.67460720486,,,49510.28079344174,53688.011858703896,,285767.0348244759,,,143204.47703736872,,,30419.233823528302,66571.39957331837,358095.5774573948,120023.57275572927,228358.54737399716,,,,,,,,25313.81404954961,7.481157323292491,8750.911714018039,65660.8371569043,,236641.7215028052,21085.81894650128,74032.0250479473,26840.13379893341,,,,
1344531214,13362.6455,297479.59400000004,,134106.67200000002,,746446.562,,,467126.75,,,,,207743.29700000002,190293.969,19112.5762,0.0,1199380.75,2456267.75,218887.719,41980.18359999999,327.80658000000005,30648.095699999998,,81452.3906,,,,,,,,,75578.4766,,,54284.3633,56369.8281,,319829.0,,,149121.047,,,32799.023400000005,67110.2109,378590.438,120026.555,249834.812,,,,,,,,26504.722700000002,10.152940800000042,11063.929699999997,68481.4141,,247893.92200000002,22394.521500000003,80996.7969,26711.5801,,,,
1346710357,13362.6455,297479.594,,134106.672,,746446.5619999999,,,467126.75,0.0,,,,207743.297,190293.969,19112.5762,0.0,1199380.75,2456267.75,218887.719,41980.183600000004,327.80658000000005,30648.095699999998,,81452.39059999998,,,,,,,,,75578.4766,,,54284.3633,56369.8281,,319829.0,,,149121.04699999996,,,32799.02339999999,67110.2109,378590.438,120026.555,249834.812,,,,,,0.0,,26504.7227,10.152940800000042,11063.929699999999,68481.4141,,247893.92200000002,22394.5215,80996.79690000002,26711.5801,,,,
1348889500,13362.6455,297479.59400000004,,134106.672,,746446.5619999999,,,467126.75,0.0,,,,207743.29700000002,190293.969,19112.576199999996,0.0,1199380.75,2456267.75,218887.71899999998,41980.183600000004,327.80658000000005,30648.095699999998,,81452.3906,,,0.0,,,,,,75578.4766,,,54284.3633,56369.8281,,319829.0,,,149121.047,,,32799.02339999999,67110.2109,378590.438,120026.555,249834.812,,,,,,0.0,,26504.7227,10.152940800000042,11063.929699999999,68481.41410000001,,247893.92200000002,22394.521500000003,80996.7969,26711.5801,,,,
1351068643,13362.645499999999,297479.594,,134106.67199999996,,746446.562,,,467126.75,0.0,,,,207743.29700000002,190293.969,19112.5762,0.0,1199380.75,2456267.75,218887.71899999998,41980.1836,327.80658000000005,30648.0957,,81452.39059999998,,,2.1223197034913226,,,,,,75578.47659999998,,,54284.3633,56369.82809999999,,319829.0,,,149121.04700000002,,,32799.02339999999,67110.2109,378590.438,121122.04718478466,249834.812,,,,,,0.0,,26504.722700000002,10.152940800000035,11063.929699999999,68481.4141,,247893.922,22394.521500000003,80996.79690000002,26711.5801,,,,
1353247786,13621.291639505926,291020.050997533,1693.911985719993,135243.98400941322,,746440.5359858135,,,878834.2807580956,8848.625088208108,,,,220938.08971603756,179125.2880115333,19314.72749965029,2466.2415291052334,1275497.760811175,2576804.4623628976,217383.73818573536,43436.67681661442,7783.211250680879,40993.149064454265,,80589.48289722484,,,777.949709692772,,,,,,86723.96020725014,,,54627.40499958738,54531.69042263382,,330066.1630915689,,,172374.1850564975,,,32724.7276299867,65273.243260364776,398964.826437347,144510.47268478468,258343.87447101605,,,,,,16139.266051720271,,26824.74654348484,14.101540089752717,9610.888503614795,64900.16956326455,,253333.5609085447,22749.69293245863,80979.58190786533,25429.586386151037,,,,
